status	path	notes
skipped_non_runtime	.gitignore	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	.release-please-manifest.json	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	ARCHITECTURE.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	CHANGELOG.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	CLAUDE.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	CONTRIBUTING.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	Cargo.lock	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	Cargo.toml	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	Formula/rtk.rb	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	INSTALL.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	LICENSE	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README_es.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README_fr.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README_ja.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README_ko.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	README_zh.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	ROADMAP.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	SECURITY.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	build.rs	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/AUDIT_GUIDE.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/FEATURES.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/TECHNICAL.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/TROUBLESHOOTING.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/filter-workflow.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/images/gain-dashboard.jpg	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/maintainers/MAINTAINERS_APPLY.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	docs/tracking.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
skipped_non_runtime	hooks/README.md	non-runtime docs/config/tooling file; skipped for capability import | deleted_to=.assimilation_deleted
