order	status	file	language	loc	authority_risk_score	migration_potential_score	concept_opportunity_score	priority_score
60	done	core/layer0/ops/src/stomach_kernel.rs	rs	640	5	1	3	3.4
61	done	core/layer0/ops/src/dashboard_provider_runtime_parts/022-provider-adapters.rs	rs	624	5	1	3	3.4
62	done	core/layer0/ops/src/metagpt_bridge.rs	rs	621	5	1	3	3.4
63	done	core/layer2/ops/src/nexus_internal_comms_parts/020-lexicon.rs	rs	608	5	1	3	3.4
64	done	core/layer0/ops/src/nexus_plane.rs	rs	589	5	1	3	3.4
65	done	core/layer0/ops/src/web_conduit_provider_runtime.rs	rs	587	5	1	3	3.4
66	done	core/layer0/ops/src/dashboard_compat_api_parts/031-context-window-and-recall.rs	rs	583	5	1	3	3.4
67	done	core/layer0/ops/src/backlog_queue_executor.rs	rs	578	5	1	3	3.4
68	done	core/layer0/ops/src/dashboard_agent_state_controls.rs	rs	577	5	1	3	3.4
69	done	core/layer0/ops/src/local_runtime_partitioner.rs	rs	574	5	1	3	3.4
70	done	core/layer0/ops/src/runtime_systems_parts/100-collect-passthrough.rs	rs	553	5	1	3	3.4
71	done	core/layer0/ops/src/dashboard_git_runtime.rs	rs	552	5	1	3	3.4
72	done	core/layer0/ops/src/memory_session_isolation_kernel.rs	rs	542	5	1	3	3.4
73	done	core/layer0/ops/src/intelligence_nexus.rs	rs	541	5	1	3	3.4
74	done	core/layer0/ops/src/continuity_runtime.rs	rs	534	5	1	3	3.4
75	done	core/layer0/ops/src/dashboard_agent_state_registry_parts/002-part.rs	rs	533	5	1	3	3.4
76	done	core/layer0/ops/tests/v9_swarm_runtime_integration_parts/010-fixtures-and-helpers.rs	rs	533	5	1	3	3.4
77	done	core/layer0/ops/src/model_router_tests_part2.rs	rs	529	5	1	3	3.4
78	done	core/layer0/ops/src/workflow_chain_bridge_parts/030-recall-memory.rs	rs	528	5	1	3	3.4
79	done	core/layer0/ops/src/instinct_bridge.rs	rs	525	5	1	3	3.4
80	done	core/layer0/ops/src/swarm_runtime_parts/170-spawn-options.rs	rs	510	5	1	3	3.4
81	done	core/layer0/ops/src/dashboard_agent_state_sessions_parts/001-part.rs	rs	503	5	1	3	3.4
82	done	core/layer0/ops/src/dashboard_ui_parts/070-http-and-receipts.rs	rs	503	5	1	3	3.4
83	done	core/layer0/ops/src/autotest_doctor_parts/doctor_runtime_parts/020-run-doctor.rs	rs	497	5	1	3	3.4
84	done	core/layer0/ops/src/intelligence_nexus_finance.rs	rs	491	5	1	3	3.4
85	done	core/layer0/ops/src/security_layer_inventory_gate_kernel.rs	rs	491	5	1	3	3.4
86	done	core/layer0/ops/src/tool_response_compactor_kernel.rs	rs	491	5	1	3	3.4
87	done	core/layer0/ops/src/dashboard_compat_api_agent_identity.rs	rs	490	5	1	3	3.4
88	done	core/layer0/ops/src/dashboard_ui_parts/040-runtime-sync.rs	rs	488	5	1	3	3.4
89	done	core/layer0/ops/src/operator_tooling_kernel_parts/020_routing_validation_state.rs	rs	487	5	1	3	3.4
90	done	core/layer0/ops/src/assimilation_controller_parts/020-run-variant-profiles-receipt.rs	rs	486	5	1	3	3.4
91	done	core/layer0/ops/src/swarm_runtime_parts/010-default.rs	rs	485	5	1	3	3.4
92	done	core/layer0/ops/src/operator_tooling_kernel_parts/050_ops.rs	rs	484	5	1	3	3.4
93	done	core/layer0/ops/src/dashboard_provider_runtime_parts/040-routing-policy.rs	rs	482	5	1	3	3.4
94	done	core/layer0/ops/src/assimilation_controller_parts/040-run-scheduled-hands-receipt.rs	rs	476	5	1	3	3.4
95	done	core/layer0/ops/src/runtime_system_contracts_parts/010-runtime-system-contract-profile.rs	rs	476	5	1	3	3.4
96	done	core/layer0/ops/src/top1_assurance_parts/020-load-policy.rs	rs	474	5	1	3	3.4
97	done	core/layer0/ops/src/swarm_runtime_parts/060-receive-session-messages.rs	rs	473	5	1	3	3.4
98	done	core/layer0/ops/src/phone_runtime_bridge.rs	rs	470	5	1	3	3.4
99	done	core/layer0/ops/src/attention_queue_parts/050-write-policy.rs	rs	468	5	1	3	3.4
100	done	core/layer0/ops/src/attention_queue_parts/020-event-priority.rs	rs	466	5	1	3	3.4
101	done	core/layer0/ops/tests/v7_assimilate_research_batch26_integration.rs	rs	465	5	1	3	3.4
102	done	core/layer0/ops/src/swarm_runtime_parts/090-analyze-result-consensus.rs	rs	464	5	1	3	3.4
103	done	core/layer2/conduit/src/lib_parts/command_dispatch_parts/010-parse-json-payload.rs	rs	464	5	1	3	3.4
104	done	core/layer0/ops/src/attention_queue_parts/010-usage.rs	rs	463	5	1	3	3.4
105	done	core/layer0/ops/src/workflow_chain_bridge_parts/010-usage.rs	rs	463	5	1	3	3.4
106	done	core/layer2/conduit/src/lib_parts/010-default-bridge-message-budget-max.rs	rs	462	5	1	3	3.4
107	done	core/layer0/ops/src/haystack_bridge_parts/010-usage.rs	rs	460	5	1	3	3.4
108	done	core/layer0/ops/src/mastra_bridge_parts/010-usage.rs	rs	460	5	1	3	3.4
109	done	core/layer0/ops/src/training_conduit_schema_kernel_parts/010-usage.rs	rs	460	5	1	3	3.4
110	done	core/layer0/ops/tests/v6_security_hardening_integration_parts/020-secrets-federation-tests.rs	rs	460	5	1	3	3.4
